lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date,epiweek
58912.03779609089,64522.30187972265,70909.46492573508,80812.47645383082,89669.98675459172,95513.51662896437,98322.29435670532,99178.32432465816,99593.44790913873,2021-03-06,2021-02-07
83327.98575978624,86117.95092921019,89053.17585025782,93175.6929926909,96494.06544189138,98521.36802615422,99454.76618862219,99734.23157573174,99868.93351852526,2021-02-20,2021-02-14
53677.78149165639,59480.63939877613,66266.86275335024,77196.75312016573,87435.52985590076,94455.0853607608,97909.9876546554,98973.83356892281,99491.60342644704,2021-02-27,2021-02-14
15797.928810182231,20425.56585058975,27097.962869361018,41625.36623014338,61429.36810889878,80373.00438924199,92010.63695193495,95978.77995217522,97982.64299221161,2021-03-06,2021-02-14
12282.278933999503,16463.055154530648,22729.609835985197,37115.95659438101,57929.29098595823,78646.67210127115,91410.28833208636,95703.14534544534,97851.95312116623,2021-03-13,2021-02-14
81217.78361320465,84305.96729094471,87578.5521982812,92216.10847644575,95984.31624825853,98302.0132332605,99373.0983184581,99694.27756293051,99849.1661373515,2021-02-27,2021-02-21
56587.13422315492,62220.35461104662,68733.462138978,79062.60845989529,88565.4574118639,94984.92339936207,98115.59455402156,99075.70384150404,99542.31502819971,2021-03-06,2021-02-21
10863.748655586125,14588.62135750457,20238.88769817737,33555.78869138334,53805.410368502446,75457.28842810703,89824.13704227834,94860.4024851277,97418.85501718381,2021-03-13,2021-02-21
14620.117071932147,19292.734089022357,26171.218511524672,41555.07007104998,62951.32145819131,82622.41383244588,93418.52587863238,96778.26222004082,98407.09151137325,2021-03-20,2021-02-21
41772.996247685944,47600.97979923487,54830.4350822569,67560.4064824921,80966.92007119057,91192.98620476102,96596.79897898495,98315.71517862259,99162.15127143683,2021-03-06,2021-02-28
32.298013517488734,69.56799700290473,167.87354034494388,718.5363725583289,3425.993017552283,14329.350793635213,40465.5402042219,62488.17152287296,79447.15570686111,2021-03-13,2021-02-28
32.99256664350036,70.72148125465019,170.18653133681292,733.1609621905953,3631.3978919247334,16917.994437823923,55208.9571977256,78602.25910873397,89710.86419456406,2021-03-20,2021-02-28
43.869839660644445,97.46455014876366,244.73759882600012,1137.9018642675767,6228.944903665264,31782.374078618916,71686.53468457764,86028.82896571598,93074.7590130219,2021-03-27,2021-02-28
33154.77480408712,38787.44481087738,46067.42801104175,59712.15510258249,75326.21291846072,88193.1643355567,95355.16809665367,97688.0043592569,98846.57590132125,2021-03-13,2021-03-07
27.57493288771865,56.826479701781196,130.8098550367163,525.4426772342962,2438.5298230517596,10998.533893867276,39342.819657518856,67917.07163766416,84543.68147327565,2021-03-20,2021-03-07
31.506126992476954,66.1859164574938,156.1895796744441,661.1280073298818,3361.930806171424,18205.290865124534,60770.558405025055,80464.86802594364,90299.03849626015,2021-03-27,2021-03-07
33.94121066164595,72.8321943596524,176.72927305791902,794.3338830261611,4510.826353637068,27281.800541436358,67021.64012743793,83310.02078550968,91668.72348694173,2021-04-03,2021-03-07
40657.0099681039,46907.596851552255,54624.244584677544,68000.8848967089,81648.24150339545,91671.98822855404,96816.91354298044,98430.27776595835,99220.54003790853,2021-03-20,2021-03-14
24893.921497156218,30708.716870718003,38524.84040676198,53779.44741819985,71702.86942808557,86524.15684504133,94720.59356465552,97376.31097911108,98692.1464587917,2021-03-27,2021-03-14
15013.46783148748,19806.39425137185,26795.154318317553,42106.5682892924,62775.777576003966,81843.42529863115,92875.47440518212,96465.56460196403,98240.40484199337,2021-04-03,2021-03-14
8894.926924980733,12576.230541297109,18401.85260408596,32764.26428439782,55130.79325039631,78070.76521199274,91557.34998890712,95849.66453812421,97943.99229171869,2021-04-10,2021-03-14
24891.244782765254,30705.169166027612,38520.00529023962,53771.73478993128,71691.25742939267,86510.66383759245,94711.24227753349,97370.66930395216,98689.04658633297,2021-03-27,2021-03-21
14901.084799175907,19645.830604926425,26556.638533618378,41669.25579111376,62036.07480256513,81003.23933556782,92350.01590711373,96163.70731544014,98078.97273952042,2021-04-03,2021-03-21
8681.727729079183,12248.050021897929,17870.672150805953,31643.155392236924,52932.571040272946,75302.6203838695,89799.38606624272,94845.8022950577,97409.83915770156,2021-04-10,2021-03-21
4997.182519113173,7549.609914013568,11902.976268829378,23849.243515143386,45033.646395903896,70162.30206312922,87622.7560606608,93771.64485560777,96880.72330017794,2021-04-17,2021-03-21
89891.90032140423,91860.98142647328,93786.69520749281,96278.81095998596,98140.99738266651,99228.07364505484,99717.41318181674,99862.6503083192,99932.45069822986,2021-04-03,2021-03-28
88339.3589353143,90326.60900742866,92398.90063242777,95282.44388217542,97584.14524874587,98983.01560327747,99625.3874774657,99817.52131415148,99910.09794989174,2021-04-10,2021-03-28
82971.15094559954,85730.1963260318,88668.02056036187,92861.29373021914,96299.59802651154,98430.41153627122,99419.64866763393,99716.86712614099,99860.29845352517,2021-04-17,2021-03-28
80640.74961802113,83782.66187283152,87116.9331753183,91872.66306436216,95779.7139801484,98207.53843040264,99336.76881791622,99676.33186202132,99840.246083285,2021-04-24,2021-03-28
91244.14168857172,92770.07933543918,94347.37939865321,96517.00083455672,98226.93539823322,99256.40335072509,99726.63936959628,99866.97936726469,99934.54915450711,2021-04-10,2021-04-04
87446.07969281482,89710.2859198935,92014.26066139853,95124.716197763,97533.76307689337,98969.0531880707,99621.41899852052,99815.75465531692,99909.26513344582,2021-04-17,2021-04-04
64505.19598359474,69429.47337431266,74988.03048667626,83538.54765793453,91147.22560597613,96157.19179272189,98563.43792749771,99296.5294664809,99651.98669642958,2021-04-24,2021-04-04
44296.01360844483,50268.089671790454,57572.05695500427,70125.19770466736,82871.81799961696,92228.00844059722,97030.23810613666,98535.70233584451,99272.96642533128,2021-05-01,2021-04-04
78217.76333295139,81717.58438694061,85461.06894165694,90827.51521848844,95241.76889608578,97981.11812445478,99253.38455491174,99635.67466879998,99820.16357384995,2021-04-17,2021-04-11
78082.22226720184,81627.3786826424,85408.9025959216,90811.70584530279,95240.5763905735,97982.40126850293,99254.16130244888,99636.09795567264,99820.38326454055,2021-04-24,2021-04-11
72505.33664784938,76709.52100987856,81294.48113753577,88029.4907675585,93716.50311549436,97314.15102709793,99003.20676479192,99513.0064287426,99759.40730177733,2021-05-01,2021-04-11
70631.25418767272,75038.80085430767,79880.26794636663,87057.51432228045,93177.5205154181,97076.2422779135,98913.61265650109,99469.02615141303,99737.61255647907,2021-05-08,2021-04-11
90077.85144407713,91818.26423905922,93613.07872218345,96073.65193333357,98005.17248978245,99164.41366920076,99692.96423956701,99850.58763714069,99926.45904796732,2021-04-24,2021-04-18
82961.40323736987,85807.52321065792,88804.19899117658,93016.91393710754,96411.04735907693,98485.98079645506,99441.6476995555,99727.82188317776,99865.76424046497,2021-05-01,2021-04-18
77077.5059962059,80751.06936629138,84685.11874400232,90331.9574863895,94982.324729261,97870.42696410768,99212.3314131034,99615.61327717883,99810.24355749055,2021-05-08,2021-04-18
69585.77938463473,74292.69417481884,79408.23908216134,86879.2328389154,93139.86828664568,97075.29593750216,98915.89104621054,99470.52674569143,99738.44706309355,2021-05-15,2021-04-18
76427.3765128069,80129.79785430113,84123.83861835406,89913.86347849926,94736.71209004275,97758.37299518072,99169.50427819868,99594.4977052211,99799.75749511592,2021-05-01,2021-04-25
61692.48826390484,67140.46837407521,73266.01381185885,82587.84878294606,90734.68730320015,96007.58172053703,98512.80923742393,99272.51776322682,99640.2883907864,2021-05-08,2021-04-25
50670.07472863882,57292.39135574881,65031.957441517276,77206.04751191608,87959.06889509146,94850.40548377484,98089.37871859949,99066.49136718205,99538.627701113,2021-05-15,2021-04-25
49776.36795992803,56841.5136836311,64703.231909581984,76662.66082222051,87335.44626558882,94456.05765056048,97917.46410052366,98978.50483453902,99494.15383018975,2021-05-22,2021-04-25
70034.11838375813,74485.14626610231,79392.44295086207,86702.44388935318,92970.47014782325,96981.68722492325,98877.40182483444,99451.15859090985,99728.73580405719,2021-05-08,2021-05-02
53545.63769439473,59395.29545630342,66228.40113521556,77219.88433662929,87492.63597711506,94502.00498504289,97932.97806095902,98986.02129748806,99497.86945093253,2021-05-15,2021-05-02
35264.27122595219,42194.345197697316,51028.56881461395,66648.05853007724,82024.04287959612,92287.83984073589,97138.56682716054,98601.94289817166,99308.94288354304,2021-05-22,2021-05-02
25600.9412795609,33217.4846382244,43487.99526393322,61511.93125636068,78664.0517326513,90518.21480613686,96411.29011289463,98235.48912519986,99125.05286446915,2021-05-29,2021-05-02
52162.93546209927,57986.05936591035,64871.821464861016,76126.24934165712,86815.9259439875,94185.82307146378,97811.20768021942,98925.8812514988,99467.98260202522,2021-05-15,2021-05-09
36580.90109434309,43498.6671223175,52337.37586091529,67896.68451023256,82867.10677253407,92684.47670315426,97292.95209252043,98678.65809298353,99347.20269792872,2021-05-22,2021-05-09
36415.29426620234,43928.095979948775,53192.14601858801,68643.00989287718,83129.55389716673,92729.39734197427,97294.29552092635,98676.75324906295,99345.62065362991,2021-05-29,2021-05-09
36327.86225760053,43326.42755446824,52138.54555215458,67441.10942866128,82335.75732023455,92448.25345339479,97229.52887530827,98653.04794973465,99335.95180262034,2021-06-05,2021-05-09
72627.34818378139,76878.68681434788,81503.88856080385,88246.76546353054,93871.46064226479,97391.78921746659,99034.0243820904,99528.36482568971,99767.07320738214,2021-05-22,2021-05-16
64417.97553386705,69405.59003091355,75040.26821307802,83661.99346717208,91247.15403130351,96203.58812097227,98580.29812363947,99304.63964644689,99655.95925324543,2021-05-29,2021-05-16
50921.921830454994,57124.41782919331,64556.68681494743,76572.71942883063,87559.26515042938,94816.08942656394,98129.06903150669,99094.67867062357,99554.70011977981,2021-06-05,2021-05-16
46099.27759254524,54615.443229828015,64855.37589531545,77846.67522688709,86355.90550726035,92977.71796171367,97073.18947176877,98512.17776916792,99249.71108420492,2021-06-12,2021-05-16
59474.29630657502,65453.95284674161,72418.29934905401,82941.31766905195,91400.36163381557,96412.17815536771,98681.81348089667,99357.74987797582,99683.05341772593,2021-05-29,2021-05-23
57803.00453457399,63592.9018729336,70075.88116361735,79999.35703109467,89197.64799143435,95432.6555408362,98325.22822570453,99184.54391197214,99597.62830662892,2021-06-05,2021-05-23
50991.94996300206,57299.74221942389,64772.49185232437,75490.65241365053,84152.93309463857,91596.46311376117,96413.15695871701,98155.5702307557,99063.5949073898,2021-06-12,2021-05-23
40844.24965144091,46564.39064183883,52392.17040159977,59462.663015404345,67998.41174424594,80305.47805819477,91365.23926452947,95618.05080006621,97802.54144866092,2021-06-19,2021-05-23
60216.320787079865,67227.17387256258,74730.00893576618,84844.69526398614,92358.56584100571,96738.46887493324,98778.21388662224,99400.48140319787,99703.07090441772,2021-06-05,2021-05-30
50978.23862947334,57618.92256725695,64778.44794876323,73637.87974591914,81750.44259854147,90438.50385557274,96337.5020305741,98225.41365175684,99128.652822116,2021-06-12,2021-05-30
38051.16430945697,44558.51468282872,50768.11897011839,59257.94709456796,73899.30293413943,88677.37770479675,95589.02023114475,97733.74860649955,98842.55146846602,2021-06-19,2021-05-30
25952.806264830364,32055.597019964862,37820.37064489117,46508.704991568935,66512.99152375985,81290.80068558657,90450.43158380249,94598.24730637898,97100.6809316847,2021-06-26,2021-05-30
47759.12291506375,53722.16229746571,60208.584274190485,70367.82317920099,76488.91597326515,88374.4070320735,95170.629243459,97513.82210052796,98732.01031945659,2021-06-12,2021-06-06
37602.54334745586,41919.672542165266,46893.00231379724,56391.85438388234,62889.66000185773,74676.3925178123,86236.5343437122,92120.99166826882,95713.89468047964,2021-06-19,2021-06-06
26484.898601694615,30274.869560771418,34831.44246376105,43482.37267870139,53428.39301535484,64794.47185512709,79759.97945748156,87831.31849100944,93146.91807122003,2021-06-26,2021-06-06
19692.111618391576,23153.334038957317,27553.57757645573,36132.46520179471,44911.97978753299,56689.03580037498,72925.52532007289,82929.11343077473,90081.63160204624,2021-07-03,2021-06-06
43844.34443200414,50191.16298015377,56909.42200082334,67620.5694318148,78291.13546751555,87500.73535618307,94012.86766382176,96694.60517044114,98240.9608415396,2021-06-19,2021-06-13
35386.85469105659,41783.301864366964,48553.490099051174,58434.76365724037,67740.5104294985,78355.28432472782,88406.17349898475,93293.95614223449,96332.50188219748,2021-06-26,2021-06-13
23922.58504591605,29635.670140356986,37498.89688146699,49425.10890006814,60062.14447084326,72358.67456404923,84675.83355721217,90983.75692177811,95010.07963902112,2021-07-03,2021-06-13
14853.706051690533,19589.893071872924,27522.820286027996,42248.36396648578,55064.6649313874,69092.82086373545,82861.4457948493,89925.52481262812,94425.33792063648,2021-07-10,2021-06-13
36612.894326158435,44899.96612816205,52767.94168110843,62850.22519901994,69763.00885540688,77728.02737475948,86620.13520476919,91369.91217438356,94810.19849485038,2021-06-26,2021-06-20
24928.548737540284,32110.25469206492,41043.8237085075,52663.697444352845,62083.94372564789,72796.61329665234,83883.90395930737,89610.33856553031,93725.88970100113,2021-07-03,2021-06-20
15632.327696370907,20546.076877710933,27883.32161065012,42222.02487266586,56640.144082135324,71345.73089451755,83467.71621771126,89712.21889613861,94015.87798549449,2021-07-10,2021-06-20
9460.783228209477,13089.140325904777,18902.677478997342,33390.39259745562,51245.730596579844,67703.43298028564,81470.4475156642,88641.55161655025,93497.8920020549,2021-07-17,2021-06-20
37783.7898216329,46056.194094675135,53061.69157076075,63061.43108085458,71270.39707729068,82927.89537282383,87657.78954684365,92647.5065129594,95887.67818945966,2021-07-03,2021-06-27
