date,epiweek,horizon,lower_95,pred,upper_95
2020-10-03,2020-09-06,4,188307.6925,263319.9281341265,336941.55
2020-10-03,2020-09-07,4,125828.7086,249304.4746203935,319735.4127693175
2020-10-03,2020-09-10,3,40631.7540424077,131521.669331356,337300.824054015
2020-10-03,2020-09-13,3,168253.43,235584.50699999998,302975.5165
2020-10-03,2020-09-14,3,156958.0,218671.5,304532.0
2020-10-03,2020-09-17,2,64761.4488923077,178523.82704016,363923.34432591
2020-10-03,2020-09-20,2,171612.9243676075,259901.45,330192.56712369004
2020-10-03,2020-09-21,2,174181.0,259901.0,352092.38726249954
2020-10-03,2020-09-24,1,164324.959321115,274534.7336987965,434593.9305903625
2020-10-03,2020-09-27,1,231174.35365479,291833.905264433,347601.44537514204
2020-10-03,2020-09-28,1,236640.0,302407.0,335480.14995
2020-10-10,2020-09-10,4,26148.7967299405,106519.687146034,319759.029754676
2020-10-10,2020-09-13,4,155327.6625,234676.24300000002,307755.865
2020-10-10,2020-09-14,4,134434.5,200027.8743136455,307812.0
2020-10-10,2020-09-17,3,44367.9565785798,144498.307297662,359898.705300262
2020-10-10,2020-09-20,3,156386.56949999998,253473.65,341320.1
2020-10-10,2020-09-21,3,150930.125,253474.0,380844.510425
2020-10-10,2020-09-24,2,169379.87643163194,321543.41652916453,596414.419110521
2020-10-10,2020-09-27,2,195781.02676396852,304700.7305,373150.0
2020-10-10,2020-09-28,2,207644.0,297307.0,344367.0
2020-10-10,2020-10-01,1,122569.604077413,259570.820435592,407943.290714968
2020-10-10,2020-10-04,1,233526.909331967,297611.7,368170.025
2020-10-10,2020-10-05,1,232163.0,277333.0,349044.418724999
2020-10-17,2020-09-17,4,30128.6355196637,116695.543415606,341882.028146188
2020-10-17,2020-09-20,4,144482.7145,249540.5,361688.7
2020-10-17,2020-09-21,4,131759.99,252862.0,369916.0
2020-10-17,2020-09-24,3,183442.3021298285,370398.2532879515,750240.0118486965
2020-10-17,2020-09-27,3,175389.152545535,311963.8802109345,403439.75
2020-10-17,2020-09-28,3,185251.0,304132.0,352855.0
2020-10-17,2020-10-01,2,77243.9362239601,210969.218189467,422349.479591044
2020-10-17,2020-10-04,2,211548.2615,300976.963,400779.599
2020-10-17,2020-10-05,2,212130.0,281459.433,361402.0
2020-10-17,2020-10-08,1,179729.654083999,315283.36249288346,503482.411949815
2020-10-17,2020-10-11,1,287112.7125,332023.15015,368325.63083432
2020-10-17,2020-10-12,1,270335.0,327190.117401805,384352.9399200785
