lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date,epiweek
347077.0119791829,348194.19452580984,349486.69820417784,351657.13047556824,354084.4499531552,356528.52404577954,358742.6884710248,360074.3483657795,361233.36715296,2021-03-20,2021-03-07
258334.49870161858,263650.8693544731,269916.23188699374,280719.39041714685,293230.3222971297,306298.83381659875,318558.173820675,326128.3458878903,332839.8736778544,2021-03-27,2021-03-07
222300.23710717607,228343.35663753658,235514.8540000319,248004.24534757287,262659.12080826575,278179.97085930256,292931.9003537748,302131.90679018927,310345.20989066496,2021-04-03,2021-03-07
401139.07760622056,401806.1477296038,402576.6137243057,403867.3268302759,405306.25655508635,406750.3130099277,408054.40753991675,408836.85461489105,409516.7256777629,2021-03-20,2021-03-14
374379.02875441377,375809.2167542011,377464.9140443425,380247.80547514133,383363.86844340665,386505.4669921076,389355.0106504167,391070.38645094825,392564.3381170851,2021-03-27,2021-03-14
340608.0025280705,344098.6629898925,348167.5924255584,355074.24784607324,362908.84132335015,370916.3024623247,378274.2276302349,382747.27941772086,386669.7967550029,2021-04-03,2021-03-14
321023.9811497516,325397.4131730005,330513.69722453173,339242.92745715834,349212.3810214859,359474.8104928317,368968.9355774269,374770.3027800654,379875.941423231,2021-04-10,2021-03-14
360585.57479979744,361317.078793063,362162.297992185,363579.0366904836,365159.63686030806,366747.1084298689,368181.78239754104,369043.060010791,369791.72132990987,2021-03-27,2021-03-21
358370.12143773044,359466.8961412075,360735.5736870686,362865.47796361864,365246.7079326792,367643.56423301104,369814.2556114701,371119.4524105915,372255.245834829,2021-04-03,2021-03-21
258219.93696138848,264070.34191116993,270980.1817555816,282932.05377089453,296830.6809498744,311412.05805020715,325147.22140321723,333655.2394164913,341214.7574272739,2021-04-10,2021-03-21
239807.68789477804,246752.84051136914,255010.15876422753,269428.99801571044,286407.48614939954,304455.9001686795,321670.5111668102,332434.8686419234,342062.62877781875,2021-04-17,2021-03-21
362805.71131824516,363840.04658280476,365036.229210454,367043.78017629863,369287.2659844493,371544.4646760302,373587.8082929855,374816.0382538673,375884.61417203536,2021-04-03,2021-03-28
353532.4561811063,354976.9949018664,356649.7825257315,359462.5465368554,362613.75512929325,365792.58861809014,368677.45853589696,370414.8079942961,371928.3282483362,2021-04-10,2021-03-28
345759.6494152023,347834.55137098476,350242.2386732312,354302.6263941574,358869.2410443063,363494.71489506343,367708.73968708323,370253.994780288,372475.8871821494,2021-04-17,2021-03-28
341036.4718874781,343558.4628913971,346489.3125975067,351442.5344268264,357029.00997612276,362704.28726682987,367889.3095112673,371027.7223030452,373771.5009161479,2021-04-24,2021-03-28
453726.61447800626,454435.0360541394,455253.17363369965,456623.5338517807,458150.9417065273,459683.45874768635,461067.1545926813,461897.23224062985,462618.4109302508,2021-04-10,2021-04-04
455993.467727241,457179.99392437085,458551.81494356954,460853.2595227874,463423.88058753946,466008.8404738622,468347.71142546483,469753.04246217967,470975.37201404996,2021-04-17,2021-04-04
351274.72457700485,354455.6540600223,358158.8278011619,364433.20554939564,371533.48645862105,378772.1027012415,385407.59251292853,389434.1364822004,392960.6143064201,2021-04-24,2021-04-04
325208.3824809928,329732.5405420418,335026.7726986235,344063.5734542577,354390.26694753947,365026.90490089165,374872.9102916386,380891.92258880154,386190.7259247498,2021-05-01,2021-04-04
424925.3561792328,429279.12695317436,434354.1383356862,442968.4997808199,452740.19037797983,462727.4401789519,471904.5172883275,477483.4533379208,482375.732591095,2021-04-17,2021-04-11
392611.0148168037,399151.11268164957,406826.7521750647,419983.2008417877,435100.5440545748,450762.03776041773,465339.318086738,474287.75073358417,482188.4162494069,2021-04-24,2021-04-11
